# INSTANCE PM MSSP_50x50_OSSP_JOBS_5_INST_06

Jobs = 50;
Machines = 50;

# machines in parallel
Capacity = [3,3,2,3,3,3,2,2,2,2,2,1,2,1,1,3,3,2,2,2,1,3,2,3,1,2,3,1,3,1,1,3,1,1,3,1,2,3,1,1,2,2,3,1,3,2,2,2,1,1];

# processing times
pt = [
[73,7,62,42,78,37,23,16,69,99,55,68,99,42,90,74,41,80,86,20,31,48,66,16,56,46,58,57,38,30,48,47,84,22,73,75,7,49,92,2,48,49,62,13,8,47,52,75,48,92]
[99,13,7,30,13,35,77,57,61,6,70,61,3,48,88,77,79,79,8,55,57,44,34,37,21,21,73,77,41,65,47,10,41,68,61,42,33,73,54,15,23,58,28,65,7,65,44,81,43,70]
[19,6,75,46,17,34,20,41,41,28,22,47,34,29,65,18,57,57,9,93,13,16,28,66,51,58,62,20,3,35,32,92,85,87,71,71,91,89,74,94,55,64,89,81,76,3,70,34,40,50]
[2,27,3,42,60,41,95,6,36,48,21,42,90,55,50,22,64,92,99,57,69,94,11,88,18,5,50,44,43,17,77,69,65,12,90,11,54,5,64,12,88,66,82,87,5,13,30,76,24,6]
[90,49,20,29,16,40,84,90,97,87,61,41,47,70,28,8,89,21,50,37,93,16,93,55,78,85,24,39,58,80,64,94,54,61,46,5,40,53,24,21,4,6,1,11,52,50,91,29,5,36]
[77,32,74,19,32,79,10,78,94,80,36,24,60,38,41,94,8,74,90,35,10,27,98,54,71,65,35,78,73,45,15,19,92,72,57,4,48,67,36,2,25,77,1,43,41,66,9,26,40,99]
[61,5,11,32,14,22,79,35,21,61,27,53,41,23,77,2,1,16,93,7,13,45,33,88,38,62,25,83,80,80,47,65,23,88,92,37,42,28,24,25,61,97,43,17,48,32,75,87,79,84]
[82,73,98,66,33,6,46,81,15,29,84,92,50,35,45,30,59,30,29,60,92,82,3,13,76,66,24,47,49,63,10,50,2,77,82,5,81,90,35,1,4,93,9,91,1,54,91,69,16,49]
[66,98,14,58,80,86,68,65,67,3,99,70,30,25,13,35,38,39,89,84,42,9,89,94,13,85,96,59,97,54,22,50,93,11,11,72,60,21,93,87,59,47,10,75,70,4,17,83,30,90]
[5,75,73,74,68,3,70,51,75,16,82,95,20,46,67,77,24,52,83,19,51,83,10,88,76,7,42,88,56,40,16,71,21,4,34,27,45,7,98,50,56,3,84,44,89,4,6,46,21,64]
[79,51,56,93,28,93,56,98,20,33,66,76,85,84,62,66,2,3,47,42,22,11,10,55,52,44,45,12,40,44,78,3,80,53,25,4,13,31,15,37,32,52,68,53,10,74,77,26,27,80]
[68,73,70,70,77,43,58,96,76,44,34,89,21,78,33,75,35,24,80,18,30,56,4,51,31,38,87,47,74,35,32,22,65,16,24,62,65,79,11,44,99,67,7,99,16,13,80,87,5,80]
[96,63,20,86,30,96,37,63,42,26,98,72,82,45,82,18,14,45,53,6,32,30,40,32,70,69,28,55,80,46,9,24,21,69,55,73,12,98,39,11,15,41,26,44,64,22,37,61,3,49]
[50,5,32,76,9,31,74,76,68,97,7,88,25,22,61,60,22,85,92,77,34,41,49,31,75,41,17,53,29,78,61,99,23,43,56,72,11,65,7,5,80,88,92,99,92,79,1,51,93,63]
[22,24,51,11,76,90,64,83,69,27,23,58,34,41,88,13,41,94,30,61,26,32,1,16,59,39,92,15,67,29,93,23,49,72,27,1,39,2,6,71,19,26,28,83,60,48,24,24,17,32]
[62,45,40,97,91,10,31,33,73,50,61,82,8,17,27,51,10,28,54,59,93,90,30,51,51,60,46,12,17,78,35,68,52,32,28,19,42,40,12,53,71,96,39,10,72,14,9,55,21,14]
[8,94,76,11,51,72,56,96,24,32,20,10,87,48,50,83,39,2,44,21,17,84,57,6,60,29,29,72,92,72,94,92,63,4,56,10,63,14,64,38,60,54,88,87,24,24,3,34,22,74]
[21,23,92,5,83,29,1,98,19,91,9,98,70,40,73,67,28,10,97,80,2,39,40,23,65,82,81,46,89,94,84,15,44,38,2,41,81,92,29,80,3,23,46,84,93,5,47,35,90,21]
[32,6,93,68,36,21,95,9,93,23,20,42,17,79,82,78,19,41,38,43,6,74,4,42,98,39,44,85,25,91,66,66,52,65,47,96,90,95,45,43,15,51,67,6,44,59,67,78,70,48]
[36,98,29,71,96,98,93,72,36,81,75,73,60,64,47,43,11,40,64,65,9,45,24,28,12,35,82,2,69,13,80,56,67,29,54,41,8,74,11,32,60,98,15,89,26,42,82,88,31,55]
[70,49,4,99,67,55,83,98,73,24,94,4,7,38,87,41,83,7,99,40,89,23,30,2,56,5,39,39,53,65,96,92,70,16,86,74,33,93,62,41,64,11,57,16,64,9,24,64,21,69]
[83,41,65,43,95,59,92,50,62,92,12,89,70,23,32,52,76,78,91,7,38,62,31,59,2,85,28,46,38,67,13,28,46,1,88,58,56,27,57,66,49,56,13,69,69,58,72,86,30,21]
[81,64,88,41,46,2,88,84,47,29,16,96,40,37,55,35,70,76,62,89,31,33,61,61,6,55,40,98,69,86,80,84,14,15,12,50,3,61,18,19,35,94,6,82,32,60,3,70,69,50]
[64,76,55,72,10,35,72,44,24,86,62,39,36,6,25,57,60,87,91,83,72,40,28,89,80,91,20,20,99,22,88,81,53,74,45,55,9,61,14,76,47,25,35,96,83,33,38,4,58,41]
[27,35,93,94,44,49,79,18,60,88,87,46,95,14,12,92,27,86,28,21,56,4,90,87,43,75,46,5,10,48,15,66,26,55,21,52,10,67,83,65,96,27,24,57,54,99,91,50,70,40]
[60,50,49,82,34,23,13,49,43,52,64,43,27,99,36,88,91,13,82,35,8,50,64,43,31,60,95,55,98,55,76,38,53,28,29,76,58,71,69,81,4,16,13,12,70,99,1,54,94,56]
[15,51,3,93,99,52,38,3,70,24,80,4,47,75,42,88,47,36,61,75,38,58,97,44,28,92,39,80,4,75,85,37,15,64,69,11,81,30,90,97,73,63,2,59,48,64,77,20,85,36]
[50,90,35,87,8,62,15,39,41,64,14,41,47,36,51,3,6,16,61,47,93,15,19,37,59,47,88,25,98,97,12,11,44,79,48,26,80,29,84,28,56,78,65,98,99,94,5,61,73,20]
[61,22,47,62,85,87,27,25,27,80,70,42,84,70,66,12,36,48,21,75,79,35,33,46,81,30,41,53,15,63,75,26,87,40,16,76,50,61,99,35,2,67,1,79,97,31,41,79,25,49]
[8,40,3,30,4,90,88,73,93,19,25,86,10,49,53,51,83,72,21,21,43,72,81,41,27,67,46,96,56,18,71,20,72,67,49,29,20,40,35,53,94,90,58,10,55,21,82,8,97,22]
[85,1,53,97,45,36,23,73,36,71,77,19,23,4,22,98,30,40,47,72,99,49,28,60,34,78,71,7,82,80,73,83,58,9,57,62,14,79,80,98,77,71,65,38,70,27,88,60,31,2]
[79,59,75,37,95,58,83,95,39,97,31,70,44,20,33,21,92,82,78,33,1,60,41,62,46,48,35,70,56,73,37,53,68,39,53,40,73,39,46,95,19,64,54,20,59,31,36,52,50,49]
[56,78,57,87,33,24,17,75,70,26,71,69,31,60,22,47,11,4,14,23,6,17,8,18,3,8,63,65,94,81,51,88,92,22,45,87,91,68,34,4,68,13,61,56,64,90,16,6,24,82]
[89,94,88,70,23,98,79,69,65,46,56,32,50,16,79,89,60,89,16,21,64,87,57,26,18,17,68,79,58,3,25,30,88,70,52,61,89,20,10,94,72,82,54,92,88,73,34,9,56,9]
[76,89,66,42,76,21,66,5,33,9,12,84,22,28,42,71,7,16,67,34,92,63,12,89,72,92,52,49,61,52,50,95,4,4,54,95,51,73,79,30,18,61,67,96,42,32,71,50,61,38]
