# INSTANCE GSSP 30x30-10

Jobs = 30;
Machines = 30;

# processing times
pt = [
[84, 99, 90, 41, 53, 86, 6, 53, 29, 52, 3, 46, 51, 45, 69, 2, 5, 41, 6, 87, 72, 27, 20, 55, 2, 98, 68, 45, 81, 93]
[43, 24, 87, 92, 42, 39, 48, 78, 93, 76, 9, 39, 2, 10, 30, 8, 36, 92, 27, 40, 27, 65, 67, 7, 74, 76, 44, 47, 8, 48]
[32, 93, 88, 44, 51, 89, 73, 33, 89, 25, 28, 66, 89, 79, 26, 75, 64, 40, 19, 21, 80, 18, 90, 60, 63, 31, 31, 28, 39, 38]
[81, 8, 29, 77, 88, 68, 40, 69, 37, 66, 66, 11, 54, 41, 52, 49, 30, 27, 53, 16, 76, 83, 4, 9, 85, 96, 61, 67, 83, 93]
[3, 87, 89, 53, 93, 61, 65, 95, 58, 46, 62, 48, 6, 36, 98, 47, 53, 85, 57, 13, 16, 50, 29, 53, 18, 46, 28, 56, 45, 30]
[12, 64, 2, 62, 61, 28, 33, 7, 36, 10, 69, 2, 17, 29, 89, 6, 32, 26, 70, 52, 62, 81, 48, 76, 18, 54, 92, 91, 37, 61]
[90, 4, 14, 23, 59, 51, 43, 49, 86, 6, 56, 7, 37, 61, 21, 99, 88, 65, 47, 23, 61, 42, 76, 88, 20, 76, 90, 80, 52, 14]
[98, 30, 43, 44, 14, 66, 58, 29, 53, 1, 31, 33, 58, 97, 1, 15, 68, 64, 63, 93, 44, 11, 64, 6, 29, 14, 19, 37, 55, 13]
[98, 12, 30, 3, 24, 8, 31, 45, 8, 5, 39, 15, 65, 68, 76, 87, 86, 60, 63, 83, 18, 8, 49, 32, 35, 90, 47, 25, 94, 39]
[32, 95, 53, 22, 43, 99, 56, 70, 26, 97, 39, 29, 37, 61, 68, 6, 45, 5, 24, 93, 85, 87, 20, 86, 73, 82, 50, 88, 21, 91]
[48, 21, 31, 54, 99, 81, 72, 50, 22, 89, 29, 3, 5, 5, 74, 55, 40, 3, 68, 34, 19, 96, 23, 55, 72, 44, 89, 67, 78, 39]
[85, 15, 74, 21, 14, 6, 19, 25, 90, 1, 16, 14, 99, 39, 92, 9, 78, 22, 88, 84, 94, 40, 17, 87, 26, 45, 45, 55, 76, 1]
[34, 34, 72, 17, 73, 17, 99, 35, 13, 56, 34, 16, 83, 98, 78, 80, 21, 38, 58, 24, 34, 99, 37, 99, 62, 75, 68, 66, 15, 51]
[90, 79, 58, 61, 28, 12, 38, 49, 85, 15, 78, 46, 5, 9, 36, 86, 45, 44, 15, 62, 72, 43, 23, 67, 37, 95, 99, 25, 32, 78]
[46, 97, 77, 38, 9, 67, 27, 90, 40, 59, 7, 38, 51, 62, 22, 3, 42, 91, 16, 13, 46, 21, 63, 99, 18, 36, 60, 19, 52, 51]
[89, 31, 32, 71, 97, 25, 88, 56, 1, 59, 8, 65, 23, 56, 8, 1, 8, 61, 78, 62, 56, 22, 14, 28, 44, 88, 98, 15, 52, 81]
[71, 15, 58, 35, 69, 75, 40, 7, 34, 63, 23, 44, 2, 18, 42, 96, 30, 98, 8, 66, 51, 10, 91, 60, 8, 61, 36, 67, 6, 58]
[52, 31, 7, 7, 42, 57, 31, 7, 15, 32, 45, 54, 81, 54, 11, 1, 5, 99, 85, 68, 13, 14, 38, 24, 47, 80, 8, 46, 46, 48]
[71, 48, 30, 86, 90, 90, 36, 53, 84, 49, 72, 60, 6, 77, 95, 73, 47, 20, 59, 6, 86, 66, 42, 28, 4, 28, 30, 65, 93, 10]
[48, 20, 92, 89, 48, 77, 16, 47, 9, 82, 87, 20, 65, 75, 21, 50, 17, 68, 91, 4, 38, 59, 15, 41, 25, 14, 64, 42, 41, 67]
[35, 80, 46, 13, 16, 57, 69, 98, 85, 78, 62, 69, 40, 64, 37, 6, 38, 54, 22, 45, 35, 65, 90, 49, 85, 13, 10, 68, 51, 83]
[15, 59, 3, 94, 55, 42, 52, 87, 94, 21, 5, 48, 72, 76, 14, 49, 88, 61, 88, 23, 14, 33, 61, 9, 90, 41, 90, 74, 51, 56]
[34, 36, 16, 99, 82, 12, 62, 62, 99, 86, 29, 96, 58, 7, 63, 22, 47, 52, 58, 92, 89, 98, 63, 18, 1, 80, 48, 47, 60, 30]
