# INSTANCE PM GSSP 30x30-09

Jobs = 30;
Machines = 30;

# machines in parallel
Capacity = [3,2,1,1,2,3,2,3,2,3,3,1,2,1,2,2,2,3,3,1,2,2,1,3,1,2,1,3,2,1];

# processing times
pt = [
[97, 95, 60, 97, 80, 63, 76, 89, 57, 27, 20, 31, 99, 82, 43, 34, 97, 40, 58, 90, 57, 15, 37, 79, 72, 42, 48, 29, 94, 39]
[32, 58, 70, 84, 18, 31, 93, 21, 3, 11, 16, 57, 46, 30, 61, 19, 57, 24, 54, 53, 66, 66, 72, 95, 37, 35, 62, 38, 87, 83]
[70, 20, 33, 80, 94, 89, 35, 97, 50, 57, 6, 35, 13, 92, 95, 28, 72, 92, 68, 3, 99, 3, 27, 55, 38, 30, 28, 14, 96, 3]
[88, 4, 37, 23, 71, 2, 93, 67, 31, 98, 48, 83, 46, 30, 57, 37, 8, 33, 17, 82, 11, 2, 41, 25, 52, 40, 30, 32, 96, 40]
[39, 29, 5, 9, 5, 33, 97, 60, 6, 65, 17, 42, 79, 39, 58, 11, 50, 27, 48, 24, 99, 10, 69, 11, 48, 23, 70, 5, 54, 37]
[86, 35, 65, 27, 44, 49, 82, 96, 87, 53, 46, 33, 92, 39, 37, 17, 51, 34, 8, 8, 88, 35, 78, 28, 43, 26, 40, 97, 80, 97]
[75, 7, 28, 19, 50, 91, 20, 69, 64, 25, 78, 6, 84, 15, 41, 63, 38, 63, 94, 35, 68, 82, 10, 23, 19, 60, 65, 52, 45, 19]
[64, 45, 23, 26, 25, 23, 84, 88, 18, 20, 92, 80, 30, 19, 30, 60, 41, 58, 22, 83, 86, 74, 39, 99, 95, 22, 69, 47, 8, 1]
[95, 70, 2, 7, 20, 2, 29, 11, 76, 14, 34, 73, 85, 21, 87, 86, 43, 46, 97, 8, 52, 4, 36, 86, 66, 48, 79, 41, 56, 29]
[4, 64, 42, 25, 39, 24, 65, 2, 90, 30, 47, 77, 38, 49, 1, 66, 16, 86, 96, 90, 48, 28, 22, 53, 82, 54, 33, 67, 97, 89]
[78, 98, 36, 77, 72, 8, 59, 58, 46, 9, 18, 60, 61, 89, 19, 45, 77, 34, 71, 37, 64, 85, 74, 18, 9, 69, 8, 3, 78, 37]
[3, 70, 78, 9, 30, 2, 10, 47, 53, 13, 42, 14, 27, 7, 76, 76, 22, 98, 55, 68, 18, 39, 16, 63, 32, 90, 74, 5, 53, 65]
